Xanax, 1, 3, 1, 3, 1, 7
Zoloft, 1, 5, 1, 3, 1, 7
Prozac, 1, 4, 1, 3, 1, 7
Lipitor, 1, 2, 1, 3, 1, 7
Nexium, 1, 5, 1, 3, 1, 7
Claritin, 1, 3, 1, 3, 1, 7
Lunesta, 1, 4, 1, 3, 1, 7
Ambien, 1, 5, 1, 3, 1, 7
Adderall, 1, 3, 1, 3, 1, 7
Plavix, 1, 4, 1, 3, 1, 7
Celebrex, 1, 2, 1, 3, 1, 7
Cymbalta, 1, 5, 1, 3, 1, 7
Lyrica, 1, 3, 1, 3, 1, 7
Valium, 1, 4, 1, 3, 1, 7
Zantac, 1, 5, 1, 3, 1, 7
Allegra, 1, 2, 1, 3, 1, 7
Ativan, 1, 4, 1, 3, 1, 7
Norco, 1, 3, 1, 3, 1, 7
Omnicef, 1, 5, 1, 3, 1, 7
Prevacid, 1, 3, 1, 3, 1, 7
